Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Delivery Diff,Price (INR)
66,C017,35,5,2/26/2023,9:00:44 PM,2/27/2023,6:25:58 AM,Munger,Holi,1,1865
36,C029,66,1,3/4/2023,10:28:53 AM,3/14/2023,8:14:49 AM,New Delhi,Holi,10,610
58,C077,36,1,1/6/2023,2:51:30 AM,1/15/2023,8:26:18 AM,Amravati,Birthday,9,203
38,C067,37,3,11/11/2023,12:30:28 PM,11/14/2023,12:24:51 PM,Indore,Diwali,3,1428
40,C066,48,4,11/2/2023,2:15:10 PM,11/5/2023,4:29:54 AM,Raiganj,Diwali,3,433
41,C047,54,4,6/8/2023,7:19:50 PM,6/10/2023,2:29:42 PM,Saharsa,Anniversary,2,1236
65,C033,54,2,9/1/2023,1:02:28 PM,9/11/2023,6:33:52 AM,Berhampur,Anniversary,10,1236
Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Delivery Diff,Price (INR)
46.38834499,C037,36.83776224,2.639160839,2/24/2023,11:48:13 PM,3/5/2023,7:27:10 AM,Bardhaman,Anniversary,5.043356643,1112.501166
46.73281843,C029,37.04051769,2.627032669,7/14/2023,7:12:03 PM,7/19/2023,5:39:00 PM,Bilaspur,Anniversary,5.028368646,1111.548238
47.07729186,C019,37.24327314,2.614904498,11/7/2023,11:30:18 PM,11/13/2023,7:16:17 AM,Jaipur,Diwali,5.013380649,1110.59531
47.4217653,C014,37.4460286,2.602776328,11/9/2023,6:56:33 AM,11/16/2023,10:19:22 AM,Jamalpur,Diwali,4.998392652,1109.642382
47.76623874,C012,37.64878405,2.590648158,7/10/2023,4:44:29 AM,7/19/2023,6:33:23 AM,Guwahati,Birthday,4.983404655,1108.689455
48.11071217,C006,37.85153951,2.578519987,7/17/2023,9:57:56 PM,7/27/2023,10:48:09 AM,Bhavnagar,Birthday,4.968416658,1107.736527
48.45518561,C078,38.05429496,2.566391817,2/11/2023,7:44:48 PM,2/18/2023,11:08:52 AM,Rajkot,Valentine's Day,4.953428661,1106.783599
48.79965905,C095,38.25705041,2.554263647,2/8/2023,12:11:48 PM,2/13/2023,6:51:59 PM,Danapur,Valentine's Day,4.938440664,1105.830672
49.14413248,C040,38.45980587,2.542135476,2/8/2023,8:01:07 AM,2/13/2023,7:42:58 AM,Kottayam,All Occasions,4.923452667,1104.877744
49.48860592,C023,38.66256132,2.530007306,12/13/2023,6:46:45 AM,12/15/2023,1:03:56 PM,Darbhanga,All Occasions,4.90846467,1103.924816
49.83307936,C040,38.86531677,2.517879136,8/20/2023,10:11:35 PM,8/26/2023,7:06:46 PM,Sirsa,Raksha Bandhan,4.893476673,1102.971889
50.1775528,C040,39.06807223,2.505750965,3/6/2023,5:03:06 AM,3/12/2023,6:06:11 AM,Amroha,Holi,4.878488676,1102.018961
50.52202623,C074,39.27082768,2.493622795,3/2/2023,3:30:51 PM,3/6/2023,11:51:40 PM,Jorhat,Holi,4.863500678,1101.066033
50.86649967,C009,39.47358313,2.481494625,5/8/2023,1:45:13 AM,5/13/2023,10:07:17 AM,Nanded,Birthday,4.848512681,1100.113106
51.21097311,C029,39.67633859,2.469366454,2/28/2023,1:13:22 PM,3/3/2023,11:35:49 PM,Nandyal,Holi,4.833524684,1099.160178
51.55544654,C065,39.87909404,2.457238284,3/4/2023,3:36:41 PM,3/5/2023,3:54:10 PM,Pudukkottai,Holi,4.818536687,1098.20725
51.89991998,C055,40.08184949,2.445110114,3/2/2023,4:10:26 PM,3/5/2023,3:00:40 PM,Asansol,Holi,4.80354869,1097.254323
52.24439342,C013,40.28460495,2.432981943,2/26/2023,1:04:28 PM,2/28/2023,6:00:20 AM,Jaipur,Holi,4.788560693,1096.301395
52.58886685,C097,40.4873604,2.420853773,11/8/2023,7:20:02 PM,11/14/2023,8:44:45 AM,Morena,Diwali,4.773572696,1095.348467
52.93334029,C054,40.69011585,2.408725603,11/9/2023,1:05:28 AM,11/14/2023,9:49:47 AM,Tenali,Diwali,4.758584699,1094.39554
53.27781373,C054,40.89287131,2.396597432,11/2/2023,7:25:58 PM,11/4/2023,1:28:42 PM,Vellore,Diwali,4.743596702,1093.442612
53.62228717,C020,41.09562676,2.384469262,11/11/2023,5:44:30 PM,11/18/2023,1:49:52 PM,Nangloi Jat,Diwali,4.728608705,1092.489684
53.9667606,C047,41.29838221,2.372341092,4/15/2023,1:37:27 AM,4/25/2023,2:13:27 AM,Amroha,Anniversary,4.713620708,1091.536757
54.31123404,C044,41.50113767,2.360212921,8/20/2023,11:39:51 PM,8/29/2023,11:59:54 PM,Rajkot,Raksha Bandhan,4.698632711,1090.583829
54.65570748,C063,41.70389312,2.348084751,8/22/2023,11:16:28 AM,8/30/2023,7:59:12 AM,Raipur,Raksha Bandhan,4.683644713,1089.630901
55.00018091,C023,41.90664858,2.335956581,8/29/2023,7:55:22 PM,9/7/2023,4:22:02 AM,Hospet,Raksha Bandhan,4.668656716,1088.677974
55.34465435,C045,42.10940403,2.32382841,8/20/2023,8:25:45 AM,8/27/2023,5:59:31 AM,Kozhikode,Raksha Bandhan,4.653668719,1087.725046
55.68912779,C013,42.31215948,2.31170024,8/20/2023,4:32:06 PM,8/28/2023,1:31:32 PM,Karnal,Raksha Bandhan,4.638680722,1086.772118
56.03360122,C099,42.51491494,2.29957207,2/26/2023,12:17:26 AM,3/8/2023,8:47:43 PM,Ambala,Anniversary,4.623692725,1085.819191
56.37807466,C064,42.71767039,2.287443899,9/22/2023,1:06:22 AM,10/1/2023,2:29:16 PM,Kollam,Birthday,4.608704728,1084.866263
56.7225481,C036,42.92042584,2.275315729,3/15/2023,9:23:49 AM,3/19/2023,4:46:40 PM,Agartala,Birthday,4.593716731,1083.913335
57.06702154,C047,43.1231813,2.263187559,7/6/2023,5:28:21 PM,7/14/2023,9:11:01 PM,Thrissur,Birthday,4.578728734,1082.960408
57.41149497,C065,43.32593675,2.251059388,3/2/2023,8:14:55 PM,3/3/2023,11:19:47 PM,Belgaum,Holi,4.563740737,1082.00748
57.75596841,C097,43.5286922,2.238931218,7/12/2023,8:28:56 AM,7/20/2023,11:34:57 PM,Karnal,Birthday,4.54875274,1081.054552
58.10044185,C041,43.73144766,2.226803048,5/5/2023,5:28:33 AM,5/6/2023,12:12:24 PM,Ludhiana,Anniversary,4.533764743,1080.101625
58.44491528,C091,43.93420311,2.214674877,9/2/2023,7:21:41 PM,9/8/2023,9:30:02 AM,Hyderabad,Anniversary,4.518776746,1079.148697
58.78938872,C024,44.13695856,2.202546707,2/24/2023,4:47:16 PM,3/4/2023,2:27:37 AM,Gandhidham,Anniversary,4.503788749,1078.195769
59.13386216,C013,44.33971402,2.190418537,2/16/2023,3:06:11 PM,2/20/2023,10:14:21 PM,Khammam,Anniversary,4.488800751,1077.242842
59.47833559,C042,44.54246947,2.178290366,11/8/2023,3:46:06 AM,11/15/2023,12:08:02 PM,Bilaspur,Diwali,4.473812754,1076.289914
59.82280903,C056,44.74522492,2.166162196,11/4/2023,11:31:33 AM,11/13/2023,6:40:13 PM,Kota,Diwali,4.458824757,1075.336986
60.16728247,C069,44.94798038,2.154034026,8/26/2023,2:52:39 AM,8/30/2023,1:26:45 PM,Pune,Raksha Bandhan,4.44383676,1074.384059
60.51175591,C071,45.15073583,2.141905855,10/1/2023,10:58:15 PM,10/5/2023,5:36:46 AM,Tirupati,Anniversary,4.428848763,1073.431131
60.85622934,C037,45.35349128,2.129777685,9/28/2023,4:21:09 AM,10/3/2023,11:44:33 AM,Vijayanagaram,Anniversary,4.413860766,1072.478203
61.20070278,C072,45.55624674,2.117649515,12/10/2023,10:46:15 AM,12/11/2023,12:20:29 AM,Moradabad,Anniversary,4.398872769,1071.525276
61.54517622,C044,45.75900219,2.105521344,1/13/2023,9:23:33 AM,1/15/2023,1:36:58 PM,Bulandshahr,Anniversary,4.383884772,1070.572348
61.88964965,C072,45.96175765,2.093393174,3/7/2023,7:59:48 AM,3/8/2023,3:04:34 AM,Vijayanagaram,Holi,4.368896775,1069.61942
62.23412309,C096,46.1645131,2.081265004,2/10/2023,11:01:04 AM,2/15/2023,9:19:36 PM,Katni,Valentine's Day,4.353908778,1068.666493
62.57859653,C011,46.36726855,2.069136833,2/11/2023,2:36:57 PM,2/14/2023,1:34:16 AM,Madurai,Valentine's Day,4.338920781,1067.713565
62.92306996,C090,46.57002401,2.057008663,2/9/2023,11:20:52 AM,2/12/2023,11:36:26 AM,Bathinda,Birthday,4.323932784,1066.760637
63.2675434,C059,46.77277946,2.044880493,4/18/2023,3:21:11 AM,4/23/2023,8:02:45 AM,Guna,All Occasions,4.308944787,1065.80771
63.61201684,C018,46.97553491,2.032752322,7/25/2023,5:10:42 AM,8/3/2023,7:57:35 AM,Durg,All Occasions,4.293956789,1064.854782
63.95649028,C088,47.17829037,2.020624152,5/5/2023,3:25:25 AM,5/10/2023,7:55:04 AM,Guwahati,All Occasions,4.278968792,1063.901854
64.30096371,C056,47.38104582,2.008495982,6/25/2023,6:22:38 AM,6/26/2023,3:40:04 PM,Munger,All Occasions,4.263980795,1062.948927
64.64543715,C091,47.58380127,1.996367811,7/21/2023,10:46:57 AM,7/24/2023,2:28:42 PM,Panipat,Anniversary,4.248992798,1061.995999
64.98991059,C059,47.78655673,1.984239641,4/13/2023,9:55:01 AM,4/23/2023,2:30:59 PM,Ratlam,Anniversary,4.234004801,1061.043071
65.33438402,C015,47.98931218,1.972111471,6/12/2023,2:48:39 AM,6/15/2023,10:05:41 PM,Chittoor,Anniversary,4.219016804,1060.090144
65.67885746,C050,48.19206763,1.9599833,8/25/2023,10:43:58 PM,8/31/2023,9:31:14 PM,Ahmedabad,Raksha Bandhan,4.204028807,1059.137216
66.0233309,C080,48.39482309,1.94785513,2/26/2023,12:08:38 AM,3/7/2023,5:18:28 PM,Faridabad,Holi,4.18904081,1058.184288
66.36780433,C090,48.59757854,1.93572696,2/26/2023,8:00:15 AM,3/6/2023,12:27:32 PM,Ahmedabad,Holi,4.174052813,1057.231361
66.71227777,C017,48.80033399,1.923598789,2/26/2023,9:00:44 PM,2/27/2023,6:25:58 AM,Munger,Holi,4.159064816,1056.278433
67.05675121,C029,49.00308945,1.911470619,3/4/2023,10:28:53 AM,3/14/2023,8:14:49 AM,New Delhi,Holi,4.144076819,1055.325505
67.40122465,C077,49.2058449,1.899342449,1/6/2023,2:51:30 AM,1/15/2023,8:26:18 AM,Amravati,Birthday,4.129088822,1054.372578
67.74569808,C067,49.40860035,1.887214278,11/11/2023,12:30:28 PM,11/14/2023,12:24:51 PM,Indore,Diwali,4.114100825,1053.41965
68.09017152,C066,49.61135581,1.875086108,11/2/2023,2:15:10 PM,11/5/2023,4:29:54 AM,Raiganj,Diwali,4.099112827,1052.466722
68.43464496,C047,49.81411126,1.862957938,6/8/2023,7:19:50 PM,6/10/2023,2:29:42 PM,Saharsa,Anniversary,4.08412483,1051.513795
68.77911839,C033,50.01686672,1.850829767,9/1/2023,1:02:28 PM,9/11/2023,6:33:52 AM,Berhampur,Anniversary,4.069136833,1050.560867
Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Delivery Diff,Price (INR)
69.12359183,C037,50.21962217,1.838701597,2/24/2023,11:48:13 PM,3/5/2023,7:27:10 AM,Bardhaman,Anniversary,4.054148836,1049.607939
69.46806527,C029,50.42237762,1.826573427,7/14/2023,7:12:03 PM,7/19/2023,5:39:00 PM,Bilaspur,Anniversary,4.039160839,1048.655012
69.81253871,C019,50.62513308,1.814445256,11/7/2023,11:30:18 PM,11/13/2023,7:16:17 AM,Jaipur,Diwali,4.024172842,1047.702084
70.15701214,C014,50.82788853,1.802317086,11/9/2023,6:56:33 AM,11/16/2023,10:19:22 AM,Jamalpur,Diwali,4.009184845,1046.749156
70.50148558,C012,51.03064398,1.790188916,7/10/2023,4:44:29 AM,7/19/2023,6:33:23 AM,Guwahati,Birthday,3.994196848,1045.796229
70.84595902,C006,51.23339944,1.778060745,7/17/2023,9:57:56 PM,7/27/2023,10:48:09 AM,Bhavnagar,Birthday,3.979208851,1044.843301
71.19043245,C078,51.43615489,1.765932575,2/11/2023,7:44:48 PM,2/18/2023,11:08:52 AM,Rajkot,Valentine's Day,3.964220854,1043.890373
71.53490589,C095,51.63891034,1.753804405,2/8/2023,12:11:48 PM,2/13/2023,6:51:59 PM,Danapur,Valentine's Day,3.949232857,1042.937446
71.87937933,C040,51.8416658,1.741676234,2/8/2023,8:01:07 AM,2/13/2023,7:42:58 AM,Kottayam,All Occasions,3.93424486,1041.984518
72.22385276,C023,52.04442125,1.729548064,12/13/2023,6:46:45 AM,12/15/2023,1:03:56 PM,Darbhanga,All Occasions,3.919256863,1041.03159
72.5683262,C040,52.2471767,1.717419894,8/20/2023,10:11:35 PM,8/26/2023,7:06:46 PM,Sirsa,Raksha Bandhan,3.904268865,1040.078663
72.91279964,C040,52.44993216,1.705291723,3/6/2023,5:03:06 AM,3/12/2023,6:06:11 AM,Amroha,Holi,3.889280868,1039.125735
73.25727308,C074,52.65268761,1.693163553,3/2/2023,3:30:51 PM,3/6/2023,11:51:40 PM,Jorhat,Holi,3.874292871,1038.172807
73.60174651,C009,52.85544306,1.681035383,5/8/2023,1:45:13 AM,5/13/2023,10:07:17 AM,Nanded,Birthday,3.859304874,1037.21988
73.94621995,C029,53.05819852,1.668907212,2/28/2023,1:13:22 PM,3/3/2023,11:35:49 PM,Nandyal,Holi,3.844316877,1036.266952
74.29069339,C065,53.26095397,1.656779042,3/4/2023,3:36:41 PM,3/5/2023,3:54:10 PM,Pudukkottai,Holi,3.82932888,1035.314024
74.63516682,C055,53.46370942,1.644650872,3/2/2023,4:10:26 PM,3/5/2023,3:00:40 PM,Asansol,Holi,3.814340883,1034.361097
74.97964026,C013,53.66646488,1.632522701,2/26/2023,1:04:28 PM,2/28/2023,6:00:20 AM,Jaipur,Holi,3.799352886,1033.408169
75.3241137,C097,53.86922033,1.620394531,11/8/2023,7:20:02 PM,11/14/2023,8:44:45 AM,Morena,Diwali,3.784364889,1032.455241
75.66858713,C054,54.07197579,1.608266361,11/9/2023,1:05:28 AM,11/14/2023,9:49:47 AM,Tenali,Diwali,3.769376892,1031.502314
76.01306057,C054,54.27473124,1.59613819,11/2/2023,7:25:58 PM,11/4/2023,1:28:42 PM,Vellore,Diwali,3.754388895,1030.549386
76.35753401,C020,54.47748669,1.58401002,11/11/2023,5:44:30 PM,11/18/2023,1:49:52 PM,Nangloi Jat,Diwali,3.739400898,1029.596458
76.70200745,C047,54.68024215,1.571881849,4/15/2023,1:37:27 AM,4/25/2023,2:13:27 AM,Amroha,Anniversary,3.724412901,1028.643531
77.04648088,C044,54.8829976,1.559753679,8/20/2023,11:39:51 PM,8/29/2023,11:59:54 PM,Rajkot,Raksha Bandhan,3.709424903,1027.690603
77.39095432,C063,55.08575305,1.547625509,8/22/2023,11:16:28 AM,8/30/2023,7:59:12 AM,Raipur,Raksha Bandhan,3.694436906,1026.737675
77.73542776,C023,55.28850851,1.535497338,8/29/2023,7:55:22 PM,9/7/2023,4:22:02 AM,Hospet,Raksha Bandhan,3.679448909,1025.784748
78.07990119,C045,55.49126396,1.523369168,8/20/2023,8:25:45 AM,8/27/2023,5:59:31 AM,Kozhikode,Raksha Bandhan,3.664460912,1024.83182
78.42437463,C013,55.69401941,1.511240998,8/20/2023,4:32:06 PM,8/28/2023,1:31:32 PM,Karnal,Raksha Bandhan,3.649472915,1023.878892
78.76884807,C099,55.89677487,1.499112827,2/26/2023,12:17:26 AM,3/8/2023,8:47:43 PM,Ambala,Anniversary,3.634484918,1022.925965
79.1133215,C064,56.09953032,1.486984657,9/22/2023,1:06:22 AM,10/1/2023,2:29:16 PM,Kollam,Birthday,3.619496921,1021.973037
79.45779494,C036,56.30228577,1.474856487,3/15/2023,9:23:49 AM,3/19/2023,4:46:40 PM,Agartala,Birthday,3.604508924,1021.020109
79.80226838,C047,56.50504123,1.462728316,7/6/2023,5:28:21 PM,7/14/2023,9:11:01 PM,Thrissur,Birthday,3.589520927,1020.067182
80.14674182,C065,56.70779668,1.450600146,3/2/2023,8:14:55 PM,3/3/2023,11:19:47 PM,Belgaum,Holi,3.57453293,1019.114254
80.49121525,C097,56.91055213,1.438471976,7/12/2023,8:28:56 AM,7/20/2023,11:34:57 PM,Karnal,Birthday,3.559544933,1018.161326
80.83568869,C041,57.11330759,1.426343805,5/5/2023,5:28:33 AM,5/6/2023,12:12:24 PM,Ludhiana,Anniversary,3.544556936,1017.208399
81.18016213,C091,57.31606304,1.414215635,9/2/2023,7:21:41 PM,9/8/2023,9:30:02 AM,Hyderabad,Anniversary,3.529568939,1016.255471
81.52463556,C024,57.51881849,1.402087465,2/24/2023,4:47:16 PM,3/4/2023,2:27:37 AM,Gandhidham,Anniversary,3.514580941,1015.302543
81.869109,C013,57.72157395,1.389959294,2/16/2023,3:06:11 PM,2/20/2023,10:14:21 PM,Khammam,Anniversary,3.499592944,1014.349616
82.21358244,C042,57.9243294,1.377831124,11/8/2023,3:46:06 AM,11/15/2023,12:08:02 PM,Bilaspur,Diwali,3.484604947,1013.396688
82.55805587,C056,58.12708486,1.365702954,11/4/2023,11:31:33 AM,11/13/2023,6:40:13 PM,Kota,Diwali,3.46961695,1012.44376
82.90252931,C069,58.32984031,1.353574783,8/26/2023,2:52:39 AM,8/30/2023,1:26:45 PM,Pune,Raksha Bandhan,3.454628953,1011.490833
83.24700275,C071,58.53259576,1.341446613,10/1/2023,10:58:15 PM,10/5/2023,5:36:46 AM,Tirupati,Anniversary,3.439640956,1010.537905
83.59147619,C037,58.73535122,1.329318443,9/28/2023,4:21:09 AM,10/3/2023,11:44:33 AM,Vijayanagaram,Anniversary,3.424652959,1009.584977
83.93594962,C072,58.93810667,1.317190272,12/10/2023,10:46:15 AM,12/11/2023,12:20:29 AM,Moradabad,Anniversary,3.409664962,1008.63205
84.28042306,C044,59.14086212,1.305062102,1/13/2023,9:23:33 AM,1/15/2023,1:36:58 PM,Bulandshahr,Anniversary,3.394676965,1007.679122
84.6248965,C072,59.34361758,1.292933932,3/7/2023,7:59:48 AM,3/8/2023,3:04:34 AM,Vijayanagaram,Holi,3.379688968,1006.726194
84.96936993,C096,59.54637303,1.280805761,2/10/2023,11:01:04 AM,2/15/2023,9:19:36 PM,Katni,Valentine's Day,3.364700971,1005.773267
85.31384337,C011,59.74912848,1.268677591,2/11/2023,2:36:57 PM,2/14/2023,1:34:16 AM,Madurai,Valentine's Day,3.349712974,1004.820339
85.65831681,C090,59.95188394,1.256549421,2/9/2023,11:20:52 AM,2/12/2023,11:36:26 AM,Bathinda,Birthday,3.334724977,1003.867411
86.00279024,C059,60.15463939,1.24442125,4/18/2023,3:21:11 AM,4/23/2023,8:02:45 AM,Guna,All Occasions,3.319736979,1002.914484
86.34726368,C018,60.35739484,1.23229308,7/25/2023,5:10:42 AM,8/3/2023,7:57:35 AM,Durg,All Occasions,3.304748982,1001.961556
86.69173712,C088,60.5601503,1.22016491,5/5/2023,3:25:25 AM,5/10/2023,7:55:04 AM,Guwahati,All Occasions,3.289760985,1001.008628
87.03621056,C056,60.76290575,1.208036739,6/25/2023,6:22:38 AM,6/26/2023,3:40:04 PM,Munger,All Occasions,3.274772988,1000.055701
87.38068399,C091,60.9656612,1.195908569,7/21/2023,10:46:57 AM,7/24/2023,2:28:42 PM,Panipat,Anniversary,3.259784991,999.1027728
87.72515743,C059,61.16841666,1.183780399,4/13/2023,9:55:01 AM,4/23/2023,2:30:59 PM,Ratlam,Anniversary,3.244796994,998.1498452
88.06963087,C015,61.37117211,1.171652228,6/12/2023,2:48:39 AM,6/15/2023,10:05:41 PM,Chittoor,Anniversary,3.229808997,997.1969175
88.4141043,C050,61.57392756,1.159524058,8/25/2023,10:43:58 PM,8/31/2023,9:31:14 PM,Ahmedabad,Raksha Bandhan,3.214821,996.2439898
88.75857774,C080,61.77668302,1.147395888,2/26/2023,12:08:38 AM,3/7/2023,5:18:28 PM,Faridabad,Holi,3.199833003,995.2910622
89.10305118,C090,61.97943847,1.135267717,2/26/2023,8:00:15 AM,3/6/2023,12:27:32 PM,Ahmedabad,Holi,3.184845006,994.3381345
89.44752461,C017,62.18219393,1.123139547,2/26/2023,9:00:44 PM,2/27/2023,6:25:58 AM,Munger,Holi,3.169857009,993.3852068
89.79199805,C029,62.38494938,1.111011377,3/4/2023,10:28:53 AM,3/14/2023,8:14:49 AM,New Delhi,Holi,3.154869012,992.4322792
90.13647149,C077,62.58770483,1.098883206,1/6/2023,2:51:30 AM,1/15/2023,8:26:18 AM,Amravati,Birthday,3.139881015,991.4793515
90.48094493,C067,62.79046029,1.086755036,11/11/2023,12:30:28 PM,11/14/2023,12:24:51 PM,Indore,Diwali,3.124893017,990.5264238
